Timeline,Start time,Duration,Row,Instance number,<flag>.,✅,✅✅,❌❌,🏈,🔸🔹[OT] Counter-attack,🔹🔸[DT] Back in,🔹🔸[DT] Quick regain,🚧,Ungrouped,Notes,Flags
25.11.22 - Fulham FC vs Sunderland,0.0,23.565973171768704,🔸[DSP] Kick-off✅,0,,,,,,,,,,✅,,.
25.11.22 - Fulham FC vs Sunderland,0.0,18.422952119445227,"🔹[IP2]Low Build-up(under pressure, IB)❌",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,23.045435710884703,"🔸[OP2]High Press(MFM, IB, block/cover)✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,19.808757476414883,"🔹[IP3b]Progression(IB, inacurate)❌",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,20.569283061540233,"🔸[OP1a]GK Restart(OS, short-1, 2nd phase regain)✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,18.50082920866882,🔸🔹Offensive transition(RS cross far post)✅,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,26.8058165826684,"🔸[OP1a]GK Restart(OS, short-1, phase #1: lack of intensity, phase #2 ok)✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,13.400291916996764,"🔸[DSP] Throw-in(L, DZ, 4-4-2?, regain)✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,17.268789957904858,🔸🔹Offensive transition(lack of composure after the regain)❌,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,9.180064274982215,"🔸[OP3b]Mid Block(RTRiangle, midfieder rolls outside)❌",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,26.669517594341812,"🔸[OP4]Low Block(silly foul, gift)❌",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,16.85109879099724,🔸[DSP] Free kick✅,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,21.503099310031473,"🔸[OP4]Low Block(diagonal, RTriangle, Box unit variation)✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,17.269942969742317,"🔸[OP4]Low Block(IB, offside)✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,16.130094781129515,"🔹[IP3a]Progression(overload management, poor choice)🚧",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,22.082183624913853,🔸[OP2]High Press(LCB all the way)✅,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,13.460084419388295,"🔹[IP3b]Progression(around, offside ...)🚧",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,33.85014941800205,"🔸[OP4]Low Block(RTRiangle🚧, Box management✅)🚧",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,21.119207862239364,🔸[OP2]High Press(mid-regain)✅,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,16.701373875668196,"🔸🔹Offensive transition(counter-attack, quick turnover, 2nd pass)❌",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,36.65921060466951,"🔸[OP2]High Press(10"" all-in, back-in, RTRiangle)🚧",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,55.01245344833512,"🔸[OP4]Low Block(RTRiangle, x phases, cross, shot conceded)🚧",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,24.799573457665815,"🔹[IP1b]GK Restart(quick IB, turnover)🚧",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,9.511365819402045,🔸[OP4]Low Block(2 runs IB well managed)✅,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,24.199841374334824,🔹[IP1b]GK Restart(LSide pressing trap)🚧,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,44.79783845700092,"🔹[IP2]Low Build-up(phase #1 around✔️, phase #2 IB)❌",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,27.998953208336047,"🔸[OP2]High Press(adaptive MFM, high regain)✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,39.41081720833381,"🔹[IP3a]Progression(RTRiangle, IB, quick regain, 1v1 GK)✅✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,17.113844726097,"🔸[OP2]High Press(triangle, back in shape)🚧",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,18.47573328657063,"🔸[OP4]Low Block(backpass, squeeze the line, diagonal, cheap turnover)❌⭐️",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,16.377294875003145,"🔸[DSP] Corner(R, front post, 2 phases)🚧",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,9.532606791332228,"🔸[DSP] Corner(L, far post)✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,27.099243461179867,"🔹[IP3a]Progression(RSide carrying, IB, offside?)🚧",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,24.642700775757476,"🔸[OP1a]GK Restart(HBlock, 2nd ball lost)❌",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,32.60051385684096,"🔸[OP3b]Mid Block(triggers ✔️, IB, 2nd ball regain)✅⭐️",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,20.89932120933713,"🔸🔹Offensive transition(around, 2 sloppy passes, turnover)❌",0,,,,,,,,,,🔸🔹[OT] Counter-attack,,.
25.11.22 - Fulham FC vs Sunderland,0.0,8.92006064973316,🔸🔹Offensive transition(retain possession)❌,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,22.828549235642868,🔸[OP2]High Press(mid-regain)✅,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,20.802402187721782,"🔹[OSP] Corner(L, poor delivery)❌⚠️",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,19.498547000330746,🔹🔸Defensive transition(counter-attack post corner-kick)❌❌,0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,25.007823250001138,"🔹[IP1a]GK Restart(OS, spare-man)✅⭐️",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,22.40852522850014,"🔸[OP1a]GK Restart(OS, short, open the 9, duels lost)❌❌⚠️",0,,,,,,,,,,❌❌,,.
25.11.22 - Fulham FC vs Sunderland,0.0,26.432926541666802,"🔸[OP4]Low Block(LTriangle, box unit, 10 men, overportection)❌❌⚠️",0,,,,,,,,,,❌❌,,.
25.11.22 - Fulham FC vs Sunderland,0.0,20.573835958553445,"🔹[IP1b]GK Restart(around, 10 men, turnover)❌",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,31.79018001470513,"🔹[OSP] Throw-in(R, DZ, 2nd ball loss)❌",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,19.823827224195384,"🔸[OP4]Low Block(RTriangle, far-post cross)✅",0,,,,,,,,,,,,.
25.11.22 - Fulham FC vs Sunderland,0.0,22.72759567955154,"🔹[IP1a]GK Restart(HBlock, 2nd ball loss)❌",0,,,,,,,,,,,,.
